PLAYER,SEASON,TEAM,OFFENSIVE ARCHETYPE,MINUTES,POS,AGE,LEBRON,O-LEBRON,D-LEBRON,WAR,LEBRON CONTRACT VALUE,BOXLEBRON,BOXOLEBRON,BOXDLEBRON
Scottie Barnes,2022-23,TOR,Shot Creator,"2,678",PF,21,1.33,0.26,1.07,6.4,"20,423,914.00",0.09,-0.07,0.16
Karl-Anthony Towns,2022-23,MIN,Stretch Big,957,PF,27,1.31,0.66,0.65,2.3,"7,265,966.00",1.19,1.36,-0.16
Delon Wright,2022-23,WAS,Secondary Ball Handler,"1,221",PG,30,1.3,0.43,0.87,2.9,"9,251,237.00",0.83,0,0.83
Kyle Anderson,2022-23,MIN,Slasher,"1,957",PF,29,1.29,-0.32,1.61,4.6,"14,774,827.00",0.4,-0.77,1.17
Wendell Carter Jr.,2022-23,ORL,Stretch Big,"1,690",C,23,1.26,-0.03,1.3,4,"12,656,702.00",0.73,0.23,0.51
Larry Nance Jr.,2022-23,NOP,Roll + Cut Big,"1,381",PF,30,1.25,-0.74,2,3.2,"10,321,458.00",0.11,-1.12,1.23
Goga Bitadze,2022-23,IND/ORL,Roll + Cut Big,457,C,23,1.25,-0.18,1.43,1.1,"3,409,194.00",0.3,-0.3,0.6
Kevin Huerter,2022-23,SAC,Movement Shooter,"2,203",SG,24,1.24,1.88,-0.64,5.1,"16,379,098.00",1.31,1.46,-0.15
Mitchell Robinson,2022-23,NYK,Roll + Cut Big,"1,589",C,25,1.2,-0.79,2,3.7,"11,709,706.00",1.87,-0.51,2.38
Franz Wagner,2022-23,ORL,Secondary Ball Handler,"2,609",SF,21,1.15,0.72,0.42,5.9,"18,933,448.00",-0.35,0.12,-0.47
Monte Morris,2022-23,WAS,Primary Ball Handler,"1,696",PG,27,1.1,1.27,-0.17,3.8,"12,148,949.00",0.47,0.52,-0.05
Bruno Fernando,2022-23,HOU/ATL,Roll + Cut Big,405,C,24,1.08,-1.12,2.2,0.9,"2,885,217.00",1.12,-0.97,2.08
Moses Brown,2022-23,LAC/BRK,Roll + Cut Big,294,C,23,1.08,0.48,0.6,0.7,"2,093,068.00",0.96,0.47,0.5
Rudy Gobert,2022-23,MIN,Roll + Cut Big,"2,149",C,30,1.01,-0.89,1.9,4.7,"14,978,113.00",1.51,-0.31,1.82
John Konchar,2022-23,MEM,Stationary Shooter,"1,494",SG,27,1,-0.52,1.51,3.3,"10,382,937.00",-0.44,-1.78,1.35
Anthony Edwards,2022-23,MIN,Shot Creator,"2,842",SG,21,0.98,0.84,0.14,6.2,"19,662,183.00",1.08,1.12,-0.04
Paul Reed,2022-23,PHI,Roll + Cut Big,755,C,23,0.93,-0.79,1.72,1.6,"5,150,335.00",0.48,-1.3,1.78
Kyle Lowry,2022-23,MIA,Movement Shooter,"1,718",PG,37,0.91,0.08,0.83,3.6,"11,621,821.00",0.45,-0.16,0.61
Marcus Smart,2022-23,BOS,Stationary Shooter,"1,957",PG,29,0.9,-0.01,0.91,4.1,"13,233,839.00",1.1,0.24,0.86
Jalen Johnson,2022-23,ATL,Stretch Big,"1,042",SF,21,0.86,-0.27,1.12,2.2,"6,940,267.00",0.18,-0.95,1.13
Zach LaVine,2022-23,CHI,Primary Ball Handler,"2,768",SG,28,0.82,1.37,-0.56,5.7,"18,228,068.00",1.25,1.69,-0.44
Jaylen Brown,2022-23,BOS,Secondary Ball Handler,"2,405",SF,26,0.81,0.91,-0.1,4.9,"15,786,069.00",2.06,1.97,0.09
Tobias Harris,2022-23,PHI,Stationary Shooter,"2,436",PF,30,0.8,-0.07,0.87,5,"15,935,844.00",0.85,0.29,0.56
O.G. Anunoby,2022-23,TOR,Stationary Shooter,"2,386",SF,25,0.78,-0.51,1.28,4.9,"15,511,471.00",-0.15,-0.76,0.61
Tyler Herro,2022-23,MIA,Primary Ball Handler,"2,336",SG,23,0.77,0.8,-0.03,4.8,"15,179,258.00",0.55,0.66,-0.11
Jamal Murray,2022-23,DEN,Primary Ball Handler,"2,133",PG,26,0.77,2.03,-1.26,4.3,"13,845,543.00",1.51,2.24,-0.73
Jock Landale,2022-23,PHO,Post Scorer,979,C,27,0.74,0.1,0.64,2,"6,287,762.00",-0.97,-0.55,-0.42
Kevin Love,2022-23,CLE/MIA,Stretch Big,"1,240",PF,34,0.73,0.37,0.36,2.5,"7,944,359.00",0.62,0.2,0.42
Harrison Barnes,2022-23,SAC,Stationary Shooter,"2,662",PF,30,0.71,1.18,-0.47,5.3,"16,952,345.00",0.52,0.98,-0.46
Jusuf Nurkic,2022-23,POR,Post Scorer,"1,391",C,28,0.68,-1.2,1.88,2.7,"8,765,634.00",0.84,-0.14,0.97
Kris Dunn,2022-23,UTA,Slasher,568,PG,29,0.65,0.67,-0.02,1.1,"3,541,464.00",0.66,0.21,0.45
Tari Eason,2022-23,HOU,Athletic Finisher,"1,767",PF,21,0.6,-0.26,0.86,3.4,"10,862,981.00",-1.19,-1.27,0.09
Chimezie Metu,2022-23,SAC,Roll + Cut Big,689,C,26,0.59,-0.38,0.97,1.3,"4,214,065.00",0.34,-0.58,0.91
Boban Marjanovic,2022-23,HOU,Post Scorer,171,C,34,0.58,0.22,0.37,0.3,"1,045,237.00",0.21,-0.21,0.42
Mike Conley,2022-23,UTA/MIN,Primary Ball Handler,"2,028",PG,35,0.57,1.08,-0.51,3.9,"12,347,853.00",1.08,1.28,-0.2
Cedi Osman,2022-23,CLE,Stationary Shooter,"1,548",SF,28,0.57,0.71,-0.15,2.9,"9,410,441.00",-0.75,-0.31,-0.43
Christian Wood,2022-23,DAL,Shot Creator,"1,738",C,27,0.54,0.83,-0.29,3.3,"10,478,999.00",1.73,1.52,0.21
Jordan Goodwin,2022-23,WAS,Secondary Ball Handler,"1,105",PG,24,0.54,-0.18,0.72,2.1,"6,661,918.00",0.01,-0.46,0.47
Brandon Ingram,2022-23,NOP,Shot Creator,"1,538",SF,25,0.53,1.19,-0.66,2.9,"9,239,522.00",0.96,1.31,-0.35
Herbert Jones,2022-23,NOP,Athletic Finisher,"1,951",SF,24,0.53,-0.75,1.28,3.7,"11,708,881.00",-0.03,-1.38,1.35
Ivica Zubac,2022-23,LAC,Post Scorer,"2,170",C,26,0.52,-1.56,2.07,4.1,"12,960,657.00",0.45,-1.13,1.58
Charles Bassey,2022-23,SAS,Roll + Cut Big,508,C,22,0.52,-1.06,1.57,1,"3,033,757.00",-0.1,-1.43,1.33
Josh Okogie,2022-23,PHO,Stationary Shooter,"1,351",SG,24,0.5,-0.12,0.63,2.5,"8,035,729.00",-0.22,-0.35,0.13
Klay Thompson,2022-23,GSW,Off Screen Shooter,"2,279",SG,33,0.5,1.39,-0.88,4.2,"13,549,600.00",0.79,1.65,-0.86
Malcolm Brogdon,2022-23,BOS,Primary Ball Handler,"1,744",PG,30,0.48,0.61,-0.12,3.2,"10,300,814.00",1.05,1.37,-0.31
Mike Muscala,2022-23,OKC/BOS,Stretch Big,945,C,31,0.45,0.03,0.42,1.7,"5,513,010.00",-0.61,-0.68,0.07
Moritz Wagner,2022-23,ORL,Stretch Big,"1,109",C,25,0.45,0.22,0.22,2,"6,467,939.00",0.44,0.42,0.03
Darius Days,2022-23,HOU,Low Minute,25,PF,23,0.43,0.1,0.33,0,"145,054.00",0.44,0.05,0.39
Alec Burks,2022-23,DET,Secondary Ball Handler,"1,122",SG,31,0.43,1.3,-0.88,2,"6,500,613.00",-0.31,0.61,-0.92
Jose Alvarado,2022-23,NOP,Movement Shooter,"1,310",PG,24,0.41,0.07,0.35,2.4,"7,555,320.00",-0.63,-0.42,-0.21
Orlando Robinson,2022-23,MIA,Roll + Cut Big,425,C,22,0.4,-1.18,1.58,0.8,"2,438,726.00",-0.55,-1.65,1.09
Kelly Olynyk,2022-23,UTA,Movement Shooter,"1,942",C,31,0.39,-0.03,0.42,3.5,"11,117,272.00",0.26,-0.27,0.53
Willy Hernangomez,2022-23,NOP,Roll + Cut Big,458,C,28,0.39,0.08,0.31,0.8,"2,612,276.00",0.9,0.24,0.65
Andrew Wiggins,2022-23,GSW,Athletic Finisher,"1,190",SF,28,0.37,-0.37,0.74,2.1,"6,752,269.00",0.52,0.28,0.24
Mikal Bridges,2022-23,PHO/BRK,Secondary Ball Handler,"2,963",SF,26,0.34,0.3,0.04,5.2,"16,663,166.00",0.66,0.69,-0.03
Austin Reaves,2022-23,LAL,Secondary Ball Handler,"1,843",SG,24,0.34,1.05,-0.71,3.2,"10,337,635.00",-0.9,-0.31,-0.58
Trevor Hudgins,2022-23,HOU,Low Minute,28,PG,24,0.33,0.02,0.32,0,"158,745.00",0.35,0,0.35
Dwight Powell,2022-23,DAL,Roll + Cut Big,"1,458",C,31,0.31,-0.46,0.78,2.5,"8,105,027.00",-0.59,-0.76,0.17
Al Horford,2022-23,BOS,Stationary Shooter,"1,921",C,36,0.31,-0.66,0.97,3.3,"10,656,338.00",1.52,0.01,1.51
Buddy Hield,2022-23,IND,Movement Shooter,"2,482",SF,30,0.3,0.89,-0.59,4.3,"13,723,000.00",-0.27,0.87,-1.14
Luguentz Dort,2022-23,OKC,Stationary Shooter,"2,272",SG,23,0.29,0.13,0.16,3.9,"12,526,430.00",-0.61,-0.36,-0.25
Santi Aldama,2022-23,MEM,Athletic Finisher,"1,682",PF,22,0.29,-0.62,0.91,2.9,"9,267,388.00",-0.07,-0.78,0.71
Shaquille Harrison,2022-23,POR,Secondary Ball Handler,120,SG,29,0.29,0.11,0.18,0.2,"660,665.00",0.3,-0.03,0.33
Cade Cunningham,2022-23,DET,Slasher,400,PG,21,0.28,0.51,-0.23,0.7,"2,198,612.00",0.27,0.48,-0.21
Jonathan Isaac,2022-23,ORL,Roll + Cut Big,124,PF,25,0.28,-0.44,0.72,0.2,"680,553.00",0.41,0.01,0.4
Nicolas Batum,2022-23,LAC,Stationary Shooter,"1,709",PF,34,0.27,-0.86,1.13,2.9,"9,342,368.00",-0.55,-1.22,0.67
Cole Anthony,2022-23,ORL,Primary Ball Handler,"1,552",PG,22,0.24,1.01,-0.76,2.6,"8,411,871.00",0.18,0.17,0.02
Kentavious Caldwell-Pope,2022-23,DEN,Stationary Shooter,"2,381",SG,30,0.24,-0.6,0.84,4,"12,890,648.00",-0.14,-0.84,0.7
Ben Simmons,2022-23,BRK,Roll + Cut Big,"1,105",PG,26,0.22,-1.48,1.7,1.9,"5,923,901.00",0.25,-1.34,1.59
Hamidou Diallo,2022-23,DET,Athletic Finisher,996,SG,24,0.2,-0.84,1.04,1.7,"5,303,981.00",-1.64,-1.57,-0.06
Mason Plumlee,2022-23,CHO/LAC,Roll + Cut Big,"2,053",C,33,0.19,-0.25,0.44,3.4,"10,918,705.00",0.52,-0.27,0.8
Bismack Biyombo,2022-23,PHO,Post Scorer,874,C,30,0.19,-2.69,2.88,1.5,"4,644,243.00",-0.04,-2.64,2.6
Xavier Tillman,2022-23,MEM,Roll + Cut Big,"1,180",PF,24,0.19,-1,1.18,2,"6,260,389.00",0.14,-0.74,0.88
Lindy Waters III,2022-23,OKC,Movement Shooter,531,SG,25,0.17,0.04,0.13,0.9,"2,797,877.00",-0.54,-0.01,-0.53
D'Angelo Russell,2022-23,MIN/LAL,Primary Ball Handler,"2,304",PG,27,0.16,0.65,-0.49,3.8,"12,079,873.00",0.58,1.27,-0.69
Wenyen Gabriel,2022-23,LAL,Roll + Cut Big,"1,024",PF,26,0.15,-0.83,0.99,1.7,"5,361,509.00",-1.32,-1.74,0.43
Jonas Valanciunas,2022-23,NOP,Post Scorer,"1,968",C,30,0.15,-0.32,0.47,3.2,"10,273,368.00",0.73,-0.1,0.83
Tyus Jones,2022-23,MEM,Primary Ball Handler,"1,940",PG,26,0.13,0.98,-0.85,3.2,"10,062,210.00",1.04,1.17,-0.13
Tre Jones,2022-23,SAS,Slasher,"1,984",PG,23,0.12,0.72,-0.6,3.2,"10,263,815.00",-0.9,0.02,-0.92
CJ McCollum,2022-23,NOP,Primary Ball Handler,"2,649",SG,31,0.12,1.69,-1.57,4.3,"13,699,768.00",0.81,1.06,-0.25
Javonte Green,2022-23,CHI,Stretch Big,480,SG,29,0.12,-1.48,1.6,0.8,"2,481,786.00",-0.65,-1.72,1.07
Bobby Portis,2022-23,MIL,Versatile Big,"1,819",PF,28,0.11,-0.08,0.18,2.9,"9,344,429.00",0.86,0.51,0.35
Coby White,2022-23,CHI,Stationary Shooter,"1,730",SG,23,0.1,0.83,-0.73,2.8,"8,867,035.00",-0.75,-0.44,-0.31
Talen Horton-Tucker,2022-23,UTA,Primary Ball Handler,"1,313",SG,22,0.08,0.35,-0.26,2.1,"6,686,407.00",-0.42,0.28,-0.7
T.J. McConnell,2022-23,IND,Slasher,"1,526",PG,31,0.08,0.1,-0.02,2.4,"7,765,260.00",-1.03,-0.44,-0.59
Daniel Gafford,2022-23,WAS,Roll + Cut Big,"1,604",C,24,0.08,-0.72,0.79,2.6,"8,145,936.00",0.4,-0.74,1.13
Dejounte Murray,2022-23,ATL,Shot Creator,"2,693",SG,26,0.05,0.64,-0.58,4.2,"13,558,119.00",0.84,1.22,-0.38
Robert Covington,2022-23,LAC,Athletic Finisher,779,PF,32,0.05,-0.8,0.85,1.2,"3,911,547.00",0.5,-1,1.5
Skylar Mays,2022-23,POR,Secondary Ball Handler,189,SG,25,0.02,0.32,-0.3,0.3,"935,185.00",0.42,0.4,0.02
Luka Garza,2022-23,MIN,Stretch Big,243,C,24,0,1.4,-1.4,0.4,"1,196,596.00",-0.67,0.75,-1.41
Tyrese Maxey,2022-23,PHI,Primary Ball Handler,"2,016",SG,22,-0.01,1.36,-1.37,3.1,"9,866,429.00",0.37,1.55,-1.18
Cody Zeller,2022-23,MIA,Roll + Cut Big,217,C,30,-1,-0.98,-0.02,0.2,"626,572.00",-0.89,-1.15,0.27
Jordan McLaughlin,2022-23,MIN,Secondary Ball Handler,678,PG,27,-0.02,-0.28,0.25,1,"3,305,605.00",-1.05,-0.59,-0.46
Onyeka Okongwu,2022-23,ATL,Roll + Cut Big,"1,849",C,22,-0.04,-1.2,1.16,2.8,"8,963,094.00",0.43,-0.72,1.16
TyTy Washington Jr.,2022-23,HOU,Secondary Ball Handler,433,PG,21,-0.05,-0.51,0.46,0.7,"2,086,846.00",-1.01,-0.83,-0.18
Stanley Umude,2022-23,DET,Low Minute,2,SG,24,-0.05,-0.04,-0.01,0,"10,201.00",-0.07,-0.08,0
Jay Huff,2022-23,WAS,Low Minute,95,C,25,-0.06,-0.14,0.08,0.1,"456,260.00",-0.38,-0.38,0
Dillon Brooks,2022-23,MEM,Secondary Ball Handler,"2,214",SF,27,-0.06,-0.96,0.9,3.3,"10,640,429.00",-0.84,-0.86,0.02
Terence Davis,2022-23,SAC,Movement Shooter,841,SG,25,-0.06,-0.3,0.24,1.3,"4,034,979.00",0.08,0.18,-0.1
Terry Rozier,2022-23,CHO,Primary Ball Handler,"2,221",SG,29,-0.06,1.51,-1.58,3.3,"10,639,955.00",-0.87,0.31,-1.19
Alize Johnson,2022-23,SAS,Low Minute,30,PF,26,-0.09,-0.37,0.28,0,"140,120.00",-0.5,-0.56,0.06
Russell Westbrook,2022-23,LAL/LAC,Shot Creator,"2,126",PG,34,-0.09,0.75,-0.84,3.2,"10,087,200.00",0.53,0.77,-0.24
Mo Bamba,2022-23,ORL/LAL,Stretch Big,768,C,24,-0.09,-0.5,0.41,1.1,"3,643,215.00",0.88,-0.31,1.19
Brandon Clarke,2022-23,MEM,Roll + Cut Big,"1,090",PF,26,-0.09,-0.92,0.83,1.6,"5,159,045.00",0.4,-0.41,0.81
Mark Williams,2022-23,CHO,Roll + Cut Big,828,C,21,-0.1,-1.35,1.25,1.2,"3,912,534.00",0.4,-1.22,1.63
Jalen Smith,2022-23,IND,Stretch Big,"1,279",PF,23,-0.1,-0.12,0.02,1.9,"6,025,145.00",-0.49,-0.25,-0.24
Christian Koloko,2022-23,TOR,Roll + Cut Big,802,C,22,-0.11,-2.19,2.07,1.2,"3,762,591.00",-1.43,-2.8,1.37
Luka Samanic,2022-23,UTA,Stationary Shooter,161,PF,23,-0.11,-0.31,0.2,0.2,"754,215.00",-0.45,-0.59,0.14
Obi Toppin,2022-23,NYK,Stationary Shooter,"1,050",PF,25,-0.13,0.01,-0.15,1.5,"4,889,315.00",-0.58,-0.07,-0.51
Trey Lyles,2022-23,SAC,Movement Shooter,"1,247",PF,27,-0.14,-0.12,-0.01,1.8,"5,792,981.00",0.05,0.05,0
Tyler Dorsey,2022-23,DAL,Low Minute,8,SG,27,-0.15,0.13,-0.28,0,"38,142.00",-0.19,0.12,-0.31
Kemba Walker,2022-23,DAL,Secondary Ball Handler,144,PG,32,-0.16,0.58,-0.74,0.2,"660,611.00",-0.05,0.39,-0.44
Facundo Campazzo,2022-23,DAL,Low Minute,52,PG,32,-0.17,-0.14,-0.03,0.1,"239,004.00",-0.23,0.04,-0.27
Lester Quinones,2022-23,GSW,Low Minute,18,SG,22,-0.17,-0.09,-0.08,0,"82,864.00",-0.24,-0.09,-0.15
Gary Payton II,2022-23,POR/GSW,Stretch Big,368,PG,30,-0.18,-0.3,0.13,0.5,"1,677,139.00",-1.11,-1.33,0.23
Dalen Terry,2022-23,CHI,Stationary Shooter,214,SG,20,-0.18,-0.4,0.22,0.3,"974,382.00",-0.56,-0.51,-0.05
Michael Porter Jr.,2022-23,DEN,Movement Shooter,"1,798",SF,24,-0.18,1.05,-1.23,2.6,"8,189,296.00",0.82,1.2,-0.38
Bojan Bogdanovic,2022-23,DET,Off Screen Shooter,"1,893",PF,33,-0.18,1.17,-1.35,2.7,"8,621,338.00",-1.28,0.68,-1.95
Quentin Grimes,2022-23,NYK,Movement Shooter,"2,121",SG,22,-0.19,-0.28,0.09,3,"9,622,570.00",-0.27,-0.28,0.01
Jarrell Brantley,2022-23,UTA,Low Minute,39,PF,26,-0.21,-0.08,-0.12,0.1,"175,428.00",-0.32,-0.14,-0.17
Dorian Finney-Smith,2022-23,DAL/BRK,Stationary Shooter,"2,009",PF,29,-0.21,-0.73,0.52,2.8,"9,030,760.00",-1.02,-0.91,-0.12
Matisse Thybulle,2022-23,PHI/POR,Athletic Finisher,"1,200",SG,26,-0.21,-2.25,2.04,1.7,"5,390,804.00",-0.98,-2.09,1.11
