Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
540,Dylan Windler,SF,27,LAL,8,0,28,6.8,15.3,0.444,6.8,13.6,0.5,0,1.7,0,0,0,,0,5.1,5.1,10.2,0,0,0,3.4,20.4,,150,122,windldy01
541,James Wiseman,C,22,DET,41,0,588,8.5,12.9,0.658,0,0.2,0,8.5,12.7,0.667,2.5,4.2,0.608,5,8.8,13.8,2.2,0.6,2,2.7,7.1,19.5,,122,119,wisemja01
542,Christian Wood,PF,28,LAL,50,1,872,6.7,14.4,0.466,1.9,6.2,0.307,4.8,8.2,0.587,3.6,5.1,0.702,2.1,11.7,13.9,2.7,0.9,1.8,2.7,3.9,18.9,,106,114,woodch01
543,Delon Wright,PG,31,TOT,36,1,512,4.8,12,0.397,1.5,3.8,0.381,3.3,8.1,0.404,2.7,3.2,0.829,1.3,4.5,5.8,8.3,3.5,0.8,1,2.1,13.6,,121,117,wrighde01
543,Delon Wright,PG,31,WAS,33,0,456,4.9,12.4,0.393,1.4,3.9,0.368,3.5,8.6,0.405,2.4,3,0.828,1.3,4.7,6,8.4,3.6,0.8,1.1,2.2,13.7,,118,117,wrighde01
543,Delon Wright,PG,31,MIA,3,1,56,3.5,8,0.444,1.8,3.5,0.5,1.8,4.4,0.4,4.4,5.3,0.833,0.9,2.7,3.5,8,2.7,0.9,0,0.9,13.3,,157,113,wrighde01
544,Thaddeus Young,PF,35,TOT,25,6,379,7.3,11.9,0.613,0.1,0.8,0.167,7.1,11.1,0.644,0.6,1.8,0.357,4.6,6.3,10.8,6.4,2.4,0.4,1.5,5.4,15.3,,131,116,youngth01
544,Thaddeus Young,PF,35,TOR,23,6,350,7.5,12,0.621,0.1,0.8,0.167,7.3,11.2,0.654,0.7,1.7,0.417,4,6.4,10.4,6.9,2.5,0.4,1.5,5.2,15.7,,133,116,youngth01
544,Thaddeus Young,PF,35,PHO,2,0,29,5,10,0.5,0,0,,5,10,0.5,0,3.3,0,11.7,5,16.7,0,1.7,0,1.7,6.7,10,,115,117,youngth01
545,Trae Young,PG,25,ATL,51,51,1862,10.7,25,0.426,4.3,11.6,0.371,6.3,13.4,0.473,8.6,10.1,0.856,0.6,3,3.6,14.1,1.8,0.3,5.6,2.7,34.2,,118,123,youngtr01
546,Omer Yurtseven,C,25,UTA,32,6,289,7.3,14.6,0.5,0.7,2.7,0.25,6.6,12,0.556,1.3,2.5,0.533,6.5,12.6,19.1,2.2,0.7,1.8,4,6,16.6,,102,117,yurtsom01
547,Cody Zeller,C,31,NOP,38,0,297,3.8,9.2,0.411,0.2,0.5,0.333,3.6,8.7,0.415,3.4,5.7,0.6,6.7,9.8,16.6,5.7,1.3,0.7,2.5,6.7,11.1,,117,113,zelleco01
548,Ivica Zubac,C,26,LAC,47,47,1247,9.3,14.2,0.654,0,0,,9.3,14.2,0.654,3.1,4.7,0.667,5.5,11.7,17.2,2.4,0.4,2.3,2.2,5.1,21.7,,132,113,zubaciv01
